season,match_date,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_xg_form5,away_xg_form5,home_xg,away_xg
2018/19,2018-11-24,Fulham,Southampton,3,2,H,1333.185,1359.926,0.715,1.257,1.387,1.672
2018/19,2018-11-25,Wolves,Huddersfield,0,2,A,1398.712,1346.663,1.376,0.766,0.701,0.627
2018/19,2018-11-25,Bournemouth,Arsenal,1,2,A,1411.317,1440.205,2.015,1.497,0.651,1.71
2018/19,2018-11-26,Burnley,Newcastle,1,2,A,1360.483,1358.475,0.449,1.367,1.495,1.677
2018/19,2018-11-30,Cardiff,Wolves,2,1,H,1341.228,1385.337,1.229,1.365,1.093,0.988
2018/19,2018-12-01,Newcastle,West Ham,0,3,A,1370.519,1367.747,1.391,1.386,1.126,2.627
2018/19,2018-12-01,Southampton,Man United,2,2,D,1351.165,1421.287,1.294,1.847,0.624,0.905
2018/19,2018-12-01,Man City,Bournemouth,3,1,H,1492.17,1400.139,2.834,1.488,2.836,0.715
2018/19,2018-12-01,Leicester,Watford,2,0,H,1398.277,1402.07,1.54,1.532,1.418,1.199
2018/19,2018-12-01,Huddersfield,Brighton,1,2,A,1360.038,1383.628,0.687,0.799,0.558,1.68
2018/19,2018-12-01,Crystal Palace,Burnley,2,0,H,1353.065,1348.439,1.216,0.677,2.038,0.302
2018/19,2018-12-02,Chelsea,Fulham,2,0,H,1453.83,1341.946,1.848,0.729,2.171,0.285
2018/19,2018-12-02,Liverpool,Everton,1,0,H,1486.912,1424.866,1.568,1.775,3.076,1.23
2018/19,2018-12-02,Arsenal,Tottenham,4,2,H,1451.383,1465.953,1.612,1.618,2.714,1.093
2018/19,2018-12-04,Bournemouth,Huddersfield,2,1,H,1394.492,1348.71,1.463,0.671,1.074,1.563
2018/19,2018-12-04,Watford,Man City,1,2,A,1393.953,1497.818,1.558,2.504,1.672,2.519
2018/19,2018-12-04,Brighton,Crystal Palace,3,1,H,1394.956,1360.95,1.0,1.323,1.252,1.533
2018/19,2018-12-04,West Ham,Cardiff,3,1,H,1379.812,1350.484,1.803,1.096,1.575,1.934
2018/19,2018-12-05,Tottenham,Southampton,3,1,H,1457.535,1351.168,1.613,1.301,1.736,1.824
2018/19,2018-12-05,Wolves,Chelsea,2,1,H,1376.081,1459.026,1.468,1.84,0.683,1.107
2018/19,2018-12-05,Burnley,Liverpool,1,3,A,1340.555,1493.284,0.664,2.05,1.058,2.739
2018/19,2018-12-05,Everton,Newcastle,1,1,D,1418.494,1358.454,1.635,1.274,2.109,1.522
2018/19,2018-12-05,Fulham,Leicester,1,1,D,1336.75,1406.394,0.596,1.638,1.476,1.216
2018/19,2018-12-05,Man United,Arsenal,2,2,D,1421.284,1459.801,1.805,1.572,1.337,1.732
2018/19,2018-12-08,Arsenal,Huddersfield,1,0,H,1460.705,1341.924,1.749,0.887,2.022,0.308
2018/19,2018-12-08,Burnley,Brighton,1,0,H,1332.892,1402.049,0.821,1.047,1.813,0.952
2018/19,2018-12-08,Cardiff,Southampton,1,0,H,1343.267,1345.849,1.354,1.427,1.558,0.501
2018/19,2018-12-08,Chelsea,Man City,2,0,H,1448.653,1506.846,1.458,2.621,0.526,0.74
2018/19,2018-12-08,Leicester,Tottenham,0,2,A,1406.405,1462.854,1.49,1.872,0.358,0.918
2018/19,2018-12-08,Man United,Fulham,4,1,H,1420.38,1336.74,1.569,0.815,3.154,1.233
2018/19,2018-12-08,West Ham,Crystal Palace,3,2,H,1387.028,1353.857,1.806,1.153,1.536,0.935
2018/19,2018-12-08,Bournemouth,Liverpool,0,4,A,1401.278,1500.947,1.257,2.138,0.279,1.806
2018/19,2018-12-09,Newcastle,Wolves,1,2,A,1362.032,1386.453,1.518,1.329,0.46,1.578
2018/19,2018-12-10,Everton,Watford,2,2,D,1414.916,1384.925,1.722,1.433,1.727,1.63
2018/19,2018-12-15,Fulham,West Ham,0,2,A,1330.895,1394.143,0.99,1.602,1.034,0.753
2018/19,2018-12-15,Crystal Palace,Leicester,1,0,H,1346.742,1396.015,1.249,1.125,0.397,0.895
2018/19,2018-12-15,Huddersfield,Newcastle,0,1,A,1336.879,1350.727,0.846,1.472,0.671,0.931
2018/19,2018-12-15,Man City,Everton,3,1,H,1497.186,1412.115,2.216,1.549,1.798,1.623
2018/19,2018-12-15,Tottenham,Burnley,1,0,H,1473.244,1342.868,1.729,1.007,1.746,0.451
2018/19,2018-12-15,Watford,Cardiff,3,2,H,1387.726,1351.351,1.25,1.481,1.65,0.486
2018/19,2018-12-15,Wolves,Bournemouth,2,0,H,1397.757,1392.129,1.163,0.927,2.022,0.527
2018/19,2018-12-16,Brighton,Chelsea,1,2,A,1392.073,1458.314,1.103,1.186,0.261,1.611
2018/19,2018-12-16,Southampton,Arsenal,3,2,H,1337.765,1465.749,1.165,1.829,1.212,1.858
2018/19,2018-12-16,Liverpool,Man United,3,1,H,1510.095,1426.225,2.26,1.542,2.604,0.658
2018/19,2018-12-21,Wolves,Liverpool,0,2,A,1405.614,1515.935,1.194,2.336,0.764,2.164
2018/19,2018-12-22,Bournemouth,Brighton,2,0,H,1384.272,1381.965,0.649,1.001,0.893,0.825
2018/19,2018-12-22,West Ham,Watford,0,2,A,1404.337,1394.756,1.464,1.365,2.065,2.33
2018/19,2018-12-22,Newcastle,Fulham,0,0,D,1362.33,1320.7,1.143,1.083,0.29,0.245
